Driver,Compound,TyreLife,LapNumber,lap_time_s
LEC,HARD,2.0,3.0,84.624
LEC,HARD,3.0,4.0,82.625
LEC,HARD,4.0,5.0,81.795
LEC,HARD,5.0,6.0,81.145
LEC,HARD,6.0,7.0,80.98
LEC,HARD,7.0,8.0,81.03
LEC,HARD,8.0,9.0,80.114
LEC,HARD,9.0,10.0,80.775
LEC,HARD,10.0,11.0,81.046
LEC,HARD,11.0,12.0,80.252
LEC,HARD,12.0,13.0,79.017
LEC,HARD,13.0,14.0,79.913
LEC,HARD,14.0,15.0,79.838
LEC,HARD,15.0,16.0,80.156
LEC,HARD,16.0,17.0,80.279
LEC,HARD,17.0,18.0,79.58
LEC,HARD,18.0,19.0,78.842
LEC,HARD,19.0,20.0,78.724
LEC,HARD,20.0,21.0,78.472
LEC,HARD,21.0,22.0,78.62
LEC,HARD,22.0,23.0,78.458
LEC,HARD,23.0,24.0,78.725
LEC,HARD,24.0,25.0,78.973
LEC,HARD,25.0,26.0,78.445
LEC,HARD,26.0,27.0,78.351
LEC,HARD,27.0,28.0,78.71
LEC,HARD,28.0,29.0,79.053
LEC,HARD,29.0,30.0,79.935
LEC,HARD,30.0,31.0,78.393
LEC,HARD,31.0,32.0,79.125
LEC,HARD,32.0,33.0,78.494
LEC,HARD,33.0,34.0,79.319
LEC,HARD,34.0,35.0,78.53
LEC,HARD,35.0,36.0,78.689
LEC,HARD,36.0,37.0,78.925
LEC,HARD,37.0,38.0,78.528
LEC,HARD,38.0,39.0,78.181
LEC,HARD,39.0,40.0,78.733
LEC,HARD,40.0,41.0,78.694
LEC,HARD,41.0,42.0,79.277
LEC,HARD,42.0,43.0,77.865
LEC,HARD,43.0,44.0,78.276
LEC,HARD,44.0,45.0,78.541
LEC,HARD,45.0,46.0,78.567
LEC,HARD,46.0,47.0,79.185
LEC,HARD,47.0,48.0,77.941
LEC,HARD,48.0,49.0,78.506
LEC,HARD,49.0,50.0,78.185
LEC,HARD,50.0,51.0,77.79
LEC,HARD,51.0,52.0,78.311
LEC,HARD,52.0,53.0,77.748
LEC,HARD,53.0,54.0,77.357
LEC,HARD,54.0,55.0,77.444
LEC,HARD,55.0,56.0,77.266
LEC,HARD,56.0,57.0,77.64
LEC,HARD,57.0,58.0,77.028
LEC,HARD,58.0,59.0,77.034
LEC,HARD,59.0,60.0,76.414
LEC,HARD,60.0,61.0,76.863
LEC,HARD,61.0,62.0,77.454
LEC,HARD,62.0,63.0,76.971
LEC,HARD,63.0,64.0,76.56
LEC,HARD,64.0,65.0,76.607
LEC,HARD,65.0,66.0,76.489
LEC,HARD,66.0,67.0,75.941
LEC,HARD,67.0,68.0,76.082
LEC,HARD,68.0,69.0,76.373
LEC,HARD,69.0,70.0,75.767
LEC,HARD,70.0,71.0,75.162
LEC,HARD,71.0,72.0,75.547
LEC,HARD,72.0,73.0,76.219
LEC,HARD,73.0,74.0,76.105
LEC,HARD,74.0,75.0,76.387
LEC,HARD,75.0,76.0,76.808
LEC,HARD,76.0,77.0,76.933
LEC,HARD,77.0,78.0,78.636
PIA,HARD,3.0,3.0,84.953
PIA,HARD,4.0,4.0,82.314
PIA,HARD,5.0,5.0,82.019
PIA,HARD,6.0,6.0,81.354
PIA,HARD,7.0,7.0,80.808
PIA,HARD,8.0,8.0,81.058
PIA,HARD,9.0,9.0,79.906
PIA,HARD,10.0,10.0,80.89
PIA,HARD,11.0,11.0,80.898
PIA,HARD,12.0,12.0,80.135
PIA,HARD,13.0,13.0,78.745
PIA,HARD,14.0,14.0,80.014
PIA,HARD,15.0,15.0,80.264
PIA,HARD,16.0,16.0,79.829
PIA,HARD,17.0,17.0,80.028
PIA,HARD,18.0,18.0,79.832
PIA,HARD,19.0,19.0,79.179
PIA,HARD,20.0,20.0,79.055
PIA,HARD,21.0,21.0,78.601
PIA,HARD,22.0,22.0,78.585
PIA,HARD,23.0,23.0,78.658
PIA,HARD,24.0,24.0,78.636
PIA,HARD,25.0,25.0,78.784
PIA,HARD,26.0,26.0,78.44
PIA,HARD,27.0,27.0,78.523
PIA,HARD,28.0,28.0,78.791
PIA,HARD,29.0,29.0,79.01
PIA,HARD,30.0,30.0,79.396
PIA,HARD,31.0,31.0,78.449
PIA,HARD,32.0,32.0,78.969
PIA,HARD,33.0,33.0,79.06
PIA,HARD,34.0,34.0,78.978
PIA,HARD,35.0,35.0,78.605
PIA,HARD,36.0,36.0,78.882
PIA,HARD,37.0,37.0,78.612
PIA,HARD,38.0,38.0,78.731
PIA,HARD,39.0,39.0,78.362
PIA,HARD,40.0,40.0,78.951
PIA,HARD,41.0,41.0,78.846
PIA,HARD,42.0,42.0,79.795
PIA,HARD,43.0,43.0,78.198
PIA,HARD,44.0,44.0,78.277
PIA,HARD,45.0,45.0,78.082
PIA,HARD,46.0,46.0,78.623
PIA,HARD,47.0,47.0,78.399
PIA,HARD,48.0,48.0,78.395
PIA,HARD,49.0,49.0,78.136
PIA,HARD,50.0,50.0,78.35
PIA,HARD,51.0,51.0,77.909
PIA,HARD,52.0,52.0,78.214
PIA,HARD,53.0,53.0,77.609
PIA,HARD,54.0,54.0,77.362
PIA,HARD,55.0,55.0,77.445
PIA,HARD,56.0,56.0,77.456
PIA,HARD,57.0,57.0,77.3
PIA,HARD,58.0,58.0,77.344
PIA,HARD,59.0,59.0,77.042
PIA,HARD,60.0,60.0,76.617
PIA,HARD,61.0,61.0,76.771
PIA,HARD,62.0,62.0,77.095
PIA,HARD,63.0,63.0,76.921
PIA,HARD,64.0,64.0,76.909
PIA,HARD,65.0,65.0,76.391
PIA,HARD,66.0,66.0,76.64
PIA,HARD,67.0,67.0,76.596
PIA,HARD,68.0,68.0,76.601
PIA,HARD,69.0,69.0,77.371
PIA,HARD,70.0,70.0,77.27
PIA,HARD,71.0,71.0,77.184
PIA,HARD,72.0,72.0,76.652
PIA,HARD,73.0,73.0,76.281
PIA,HARD,74.0,74.0,76.356
PIA,HARD,75.0,75.0,76.644
PIA,HARD,76.0,76.0,76.59
PIA,HARD,77.0,77.0,76.734
PIA,HARD,78.0,78.0,77.126
SAI,HARD,2.0,3.0,85.012
SAI,HARD,3.0,4.0,82.358
SAI,HARD,4.0,5.0,81.978
SAI,HARD,5.0,6.0,81.163
SAI,HARD,6.0,7.0,81.466
SAI,HARD,7.0,8.0,80.272
SAI,HARD,8.0,9.0,80.525
SAI,HARD,9.0,10.0,81.259
SAI,HARD,10.0,11.0,80.246
SAI,HARD,11.0,12.0,79.974
SAI,HARD,12.0,13.0,80.017
SAI,HARD,13.0,14.0,79.48
SAI,HARD,14.0,15.0,79.543
SAI,HARD,15.0,16.0,80.579
SAI,HARD,16.0,17.0,80.076
SAI,HARD,17.0,18.0,79.177
SAI,HARD,18.0,19.0,79.445
SAI,HARD,19.0,20.0,79.403
SAI,HARD,20.0,21.0,78.917
SAI,HARD,21.0,22.0,78.889
SAI,HARD,22.0,23.0,78.993
SAI,HARD,23.0,24.0,78.568
SAI,HARD,24.0,25.0,78.537
SAI,HARD,25.0,26.0,78.088
SAI,HARD,26.0,27.0,79.49
SAI,HARD,27.0,28.0,79.281
SAI,HARD,28.0,29.0,78.697
SAI,HARD,29.0,30.0,77.326
SAI,HARD,30.0,31.0,79.784
SAI,HARD,31.0,32.0,80.136
SAI,HARD,32.0,33.0,78.778
SAI,HARD,33.0,34.0,79.013
SAI,HARD,34.0,35.0,78.465
SAI,HARD,35.0,36.0,79.275
SAI,HARD,36.0,37.0,77.577
SAI,HARD,37.0,38.0,78.412
SAI,HARD,38.0,39.0,78.31
SAI,HARD,39.0,40.0,78.653
SAI,HARD,40.0,41.0,78.714
SAI,HARD,41.0,42.0,79.171
SAI,HARD,42.0,43.0,79.594
SAI,HARD,43.0,44.0,78.762
SAI,HARD,44.0,45.0,77.885
SAI,HARD,45.0,46.0,78.731
SAI,HARD,46.0,47.0,78.141
SAI,HARD,47.0,48.0,77.894
SAI,HARD,48.0,49.0,78.259
SAI,HARD,49.0,50.0,78.545
SAI,HARD,50.0,51.0,77.528
SAI,HARD,51.0,52.0,78.094
SAI,HARD,52.0,53.0,77.759
SAI,HARD,53.0,54.0,77.742
SAI,HARD,54.0,55.0,78.661
SAI,HARD,55.0,56.0,78.119
SAI,HARD,56.0,57.0,77.599
SAI,HARD,57.0,58.0,77.501
SAI,HARD,58.0,59.0,77.134
SAI,HARD,59.0,60.0,75.159
SAI,HARD,60.0,61.0,79.046
SAI,HARD,61.0,62.0,74.726
SAI,HARD,62.0,63.0,78.207
SAI,HARD,63.0,64.0,74.813
SAI,HARD,64.0,65.0,78.137
SAI,HARD,65.0,66.0,75.409
SAI,HARD,66.0,67.0,76.847
SAI,HARD,67.0,68.0,75.595
SAI,HARD,68.0,69.0,76.218
SAI,HARD,69.0,70.0,77.117
SAI,HARD,70.0,71.0,77.214
SAI,HARD,71.0,72.0,76.785
SAI,HARD,72.0,73.0,76.417
SAI,HARD,73.0,74.0,76.063
SAI,HARD,74.0,75.0,76.905
SAI,HARD,75.0,76.0,76.328
SAI,HARD,76.0,77.0,76.701
SAI,HARD,77.0,78.0,77.072
NOR,HARD,3.0,3.0,85.283
NOR,HARD,4.0,4.0,82.782
NOR,HARD,5.0,5.0,82.147
NOR,HARD,6.0,6.0,81.804
NOR,HARD,7.0,7.0,80.828
NOR,HARD,8.0,8.0,80.82
NOR,HARD,9.0,9.0,80.397
NOR,HARD,10.0,10.0,80.972
NOR,HARD,11.0,11.0,80.87
NOR,HARD,12.0,12.0,79.933
NOR,HARD,13.0,13.0,79.82
NOR,HARD,14.0,14.0,79.385
NOR,HARD,15.0,15.0,79.775
NOR,HARD,16.0,16.0,79.637
NOR,HARD,17.0,17.0,80.337
NOR,HARD,18.0,18.0,79.398
NOR,HARD,19.0,19.0,79.28
